(Intercept),hab1Mixwood,hab1Conif,hab1Pine,hab1BSpr,hab1Larch,hab1Wetland,hab1Shrub,hab1GrassHerb,hab1Cult,hab1UrbInd,hab1bMixwood,hab1bConif,hab1bPine,hab1bBSpr,hab1bLarch,hab1bWetland,hab1bShrub,hab1bGrassHerb,hab1bCult,hab1bUrbInd,hab1bBurn,wtAge,wtAge2,wtAge05,fCC2,isCon:wtAge,isCon:wtAge2,isUpCon:wtAge,isBSLarch:wtAge,isUpCon:wtAge2,isBSLarch:wtAge2,isMix:wtAge,isPine:wtAge,isWSpruce:wtAge,isMix:wtAge2,isPine:wtAge2,isWSpruce:wtAge2,isCon:wtAge05,isUpCon:wtAge05,isBSLarch:wtAge05,isMix:wtAge05,isPine:wtAge05,isWSpruce:wtAge05
TransmissionLine,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urban,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WellSite,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WindGenerationFacility,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDecidR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDecid1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0025,0.223606798,0.7985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDecid2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.316227766,0.528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDecid3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.04,0.447213595,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDecid4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.09,0.547722558,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCMixwoodR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCMixwood1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.05,0.0025,0.223606798,0.7985,0,0,0,0,0,0,0.05,0,0,0.0025,0,0,0,0,0,0.223606798,0,0
CCMixwood2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.316227766,0.528,0,0,0,0,0,0,0.1,0,0,0.01,0,0,0,0,0,0.316227766,0,0
CCMixwood3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2,0.04,0.447213595,0.15,0,0,0,0,0,0,0.2,0,0,0.04,0,0,0,0,0,0.447213595,0,0
CCMixwood4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3,0.09,0.547722558,0.06,0,0,0,0,0,0,0.3,0,0,0.09,0,0,0,0,0,0.547722558,0,0
CCConifR,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCConif1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.05,0.0025,0.223606798,0.9265,0.05,0.0025,0.05,0,0.0025,0,0,0,0.05,0,0,0.0025,0.223606798,0.223606798,0,0,0,0.223606798
CCConif2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.01,0.316227766,0.74,0.1,0.01,0.1,0,0.01,0,0,0,0.1,0,0,0.01,0.316227766,0.316227766,0,0,0,0.316227766
CCConif3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.2,0.04,0.447213595,0.293,0.2,0.04,0.2,0,0.04,0,0,0,0.2,0,0,0.04,0.447213595,0.447213595,0,0,0,0.447213595
CCConif4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.3,0.09,0.547722558,0.077,0.3,0.09,0.3,0,0.09,0,0,0,0.3,0,0,0.09,0.547722558,0.547722558,0,0,0,0.547722558
CCPineR,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCPine1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.05,0.0025,0.223606798,0.9265,0.05,0.0025,0.05,0,0.0025,0,0,0.05,0,0,0.0025,0,0.223606798,0.223606798,0,0,0.223606798,0
CCPine2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.01,0.316227766,0.74,0.1,0.01,0.1,0,0.01,0,0,0.1,0,0,0.01,0,0.316227766,0.316227766,0,0,0.316227766,0
CCPine3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.04,0.447213595,0.293,0.2,0.04,0.2,0,0.04,0,0,0.2,0,0,0.04,0,0.447213595,0.447213595,0,0,0.447213595,0
CCPine4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.09,0.547722558,0.077,0.3,0.09,0.3,0,0.09,0,0,0.3,0,0,0.09,0,0.547722558,0.547722558,0,0,0.547722558,0
CCBSprR,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
