Veg_Moist_preBkfSrs,Veg,Moist,preBkfSrs,Combined,need_CWCS
White birch MixCD::m::AVIE,White birch MixCD,m,AVIE,Mixedwood,
White birch MixCD::w::AVIE,White birch MixCD,w,AVIE,TreedSwamp-Mixedwood,
White birch MixD::d::AVIE,White birch MixD,d,AVIE,Decid,
White birch MixD::m::ABMICutblock,White birch MixD,m,ABMICutblock,Decid,
White birch MixD::m::AVIE,White birch MixD,m,AVIE,Decid,
White birch MixD::m::EINP,White birch MixD,m,EINP,Decid,
White birch MixD::mesic-derived::AVIE,White birch MixD,mesic-derived,AVIE,Decid,
White birch MixD::w::AVIE,White birch MixD,w,AVIE,TreedSwamp-Decid,
White birch MixD::w-derived::AVIE,White birch MixD,w-derived,AVIE,TreedSwamp-Decid,
White birch MixDC::d::AVIE,White birch MixDC,d,AVIE,Mixedwood,
White birch MixDC::m::ABMICutblock,White birch MixDC,m,ABMICutblock,Mixedwood,
White birch MixDC::m::AVIE,White birch MixDC,m,AVIE,Mixedwood,
White birch MixDC::w::AVIE,White birch MixDC,w,AVIE,TreedSwamp-Mixedwood,
White birch MixDC::w-derived::AVIE,White birch MixDC,w-derived,AVIE,TreedSwamp-Mixedwood,
White birch MixWet::m::AVIE,White birch MixWet,m,AVIE,TreedSwamp-Decid,
White birch MixWet::w::AVIE,White birch MixWet,w,AVIE,TreedSwamp-Decid,
White birch MixWet::w::EINP,White birch MixWet,w,EINP,TreedSwamp-Decid,
White birch MixWet::w-derived::AVIE,White birch MixWet,w-derived,AVIE,TreedSwamp-Decid,
White birch::d::AVIE,White birch,d,AVIE,Decid,
White birch::m::ABMICutblock,White birch,m,ABMICutblock,Decid,
White birch::m::AVIE,White birch,m,AVIE,Decid,
White birch::m::EINP,White birch,m,EINP,Decid,
White birch::w::AVIE,White birch,w,AVIE,TreedSwamp-Decid,
White birch::w::EINP,White birch,w,EINP,TreedSwamp-Decid,
White birch::w-derived::AVIE,White birch,w-derived,AVIE,TreedSwamp-Decid,
White birch::wet-derived::AVIE,White birch,wet-derived,AVIE,TreedSwamp-Decid,
White Spruce leading - conifer::3C::PLVI,White Spruce leading - conifer,3C,PLVI,Spruce,
White Spruce leading - conifer::5C::PLVI,White Spruce leading - conifer,5C,PLVI,Spruce,
White Spruce leading - conifer::5D::PLVI,White Spruce leading - conifer,5D,PLVI,Spruce,
White Spruce leading - conifer::7C::PLVI,White Spruce leading - conifer,7C,PLVI,TreedSwamp-Spruce,
White Spruce leading - conifer::7D::PLVI,White Spruce leading - conifer,7D,PLVI,TreedSwamp-Spruce,
White Spruce leading - mixedwood::3C::PLVI,White Spruce leading - mixedwood,3C,PLVI,Mixedwood,
White Spruce leading - mixedwood::5C::PLVI,White Spruce leading - mixedwood,5C,PLVI,Mixedwood,
White Spruce leading - mixedwood::5D::PLVI,White Spruce leading - mixedwood,5D,PLVI,Mixedwood,
White Spruce leading - mixedwood::6D::PLVI,White Spruce leading - mixedwood,6D,PLVI,Mixedwood,
White Spruce leading - mixedwood::7C::PLVI,White Spruce leading - mixedwood,7C,PLVI,TreedSwamp-Mixedwood,
White Spruce leading - mixedwood::7D::PLVI,White Spruce leading - mixedwood,7D,PLVI,TreedSwamp-Mixedwood,
White spruce MixC::d::ABMICutblock,White spruce MixC,d,ABMICutblock,Spruce,
White spruce MixC::d::AVIE,White spruce MixC,d,AVIE,Spruce,
White spruce MixC::dry-derived::GVI,White spruce MixC,dry-derived,GVI,Spruce,
White spruce MixC::m::ABMICutblock,White spruce MixC,m,ABMICutblock,Spruce,
White spruce MixC::m::AVIE,White spruce MixC,m,AVIE,Spruce,
White spruce MixC::mesic-derived::GVI,White spruce MixC,mesic-derived,GVI,Spruce,
White spruce MixC::w::AVIE,White spruce MixC,w,AVIE,TreedSwamp-Spruce,
White spruce MixC::w-derived::AVIE,White spruce MixC,w-derived,AVIE,TreedSwamp-Spruce,
White spruce MixCD::d::ABMICutblock,White spruce MixCD,d,ABMICutblock,Mixedwood,
White spruce MixCD::d::AVIE,White spruce MixCD,d,AVIE,Mixedwood,
White spruce MixCD::dry-derived::AVIE,White spruce MixCD,dry-derived,AVIE,Mixedwood,
White spruce MixCD::dry-derived::GVI,White spruce MixCD,dry-derived,GVI,Mixedwood,
White spruce MixCD::m::ABMICutblock,White spruce MixCD,m,ABMICutblock,Mixedwood,
White spruce MixCD::m::AVIE,White spruce MixCD,m,AVIE,Mixedwood,
White spruce MixCD::m::EINP,White spruce MixCD,m,EINP,Mixedwood,
White spruce MixCD::mesic-derived::AVIE,White spruce MixCD,mesic-derived,AVIE,Mixedwood,
White spruce MixCD::mesic-derived::GVI,White spruce MixCD,mesic-derived,GVI,Mixedwood,
White spruce MixCD::w::AVIE,White spruce MixCD,w,AVIE,TreedSwamp-Mixedwood,
White spruce MixCD::w::EINP,White spruce MixCD,w,EINP,TreedSwamp-Mixedwood,
White spruce MixCD::w-derived::AVIE,White spruce MixCD,w-derived,AVIE,TreedSwamp-Mixedwood,
White spruce MixCD::wet-derived::AVIE,White spruce MixCD,wet-derived,AVIE,TreedSwamp-Mixedwood,
White spruce MixCD::wet-derived::GVI,White spruce MixCD,wet-derived,GVI,TreedSwamp-Mixedwood,
White spruce MixDC::d::AVIE,White spruce MixDC,d,AVIE,Mixedwood,
White spruce MixDC::dry-derived::GVI,White spruce MixDC,dry-derived,GVI,Mixedwood,
White spruce MixDC::m::ABMICutblock,White spruce MixDC,m,ABMICutblock,Mixedwood,
White spruce MixDC::m::AVIE,White spruce MixDC,m,AVIE,Mixedwood,
White spruce MixDC::m::EINP,White spruce MixDC,m,EINP,Mixedwood,
White spruce MixDC::mesic-derived::GVI,White spruce MixDC,mesic-derived,GVI,Mixedwood,
White spruce MixDC::w::AVIE,White spruce MixDC,w,AVIE,TreedSwamp-Mixedwood,
White spruce MixDC::w-derived::AVIE,White spruce MixDC,w-derived,AVIE,TreedSwamp-Mixedwood,
White spruce MixWet::d::AVIE,White spruce MixWet,d,AVIE,TreedSwamp-Spruce,
White spruce MixWet::dry-derived::GVI,White spruce MixWet,dry-derived,GVI,TreedSwamp-Spruce,
White spruce MixWet::m::AVIE,White spruce MixWet,m,AVIE,TreedSwamp-Spruce,
White spruce MixWet::mesic-derived::GVI,White spruce MixWet,mesic-derived,GVI,TreedSwamp-Spruce,
White spruce MixWet::w::AVIE,White spruce MixWet,w,AVIE,TreedSwamp-Spruce,
White spruce MixWet::w-derived::AVIE,White spruce MixWet,w-derived,AVIE,TreedSwamp-Spruce,
White spruce::d::ABMICutblock,White spruce,d,ABMICutblock,Spruce,
White spruce::d::AVIE,White spruce,d,AVIE,Spruce,
White spruce::dry-derived::AVIE,White spruce,dry-derived,AVIE,Spruce,
White spruce::dry-derived::GVI,White spruce,dry-derived,GVI,Spruce,
White spruce::m::ABMICutblock,White spruce,m,ABMICutblock,Spruce,
White spruce::m::AVIE,White spruce,m,AVIE,Spruce,
White spruce::m::EINP,White spruce,m,EINP,Spruce,
White spruce::Mesic::ABMICutblock,White spruce,Mesic,ABMICutblock,Spruce,
White spruce::Mesic::MTNP,White spruce,Mesic,MTNP,Spruce,
White spruce::mesic-derived::GVI,White spruce,mesic-derived,GVI,Spruce,
White spruce::mesic-derived::WBNP,White spruce,mesic-derived,WBNP,Spruce,
White spruce::Sub-Hydric::MTNP,White spruce,Sub-Hydric,MTNP,TreedSwamp-Spruce,
White spruce::Sub-Mesic::MTNP,White spruce,Sub-Mesic,MTNP,Spruce,
White spruce::w::AVIE,White spruce,w,AVIE,TreedSwamp-Spruce,
White spruce::w::EINP,White spruce,w,EINP,TreedSwamp-Spruce,
White spruce::w-derived::AVIE,White spruce,w-derived,AVIE,TreedSwamp-Spruce,
White spruce::wet-derived::AVIE,White spruce,wet-derived,AVIE,TreedSwamp-Spruce,
White spruce::Xeric::MTNP,White spruce,Xeric,MTNP,Spruce,
White-bark pine MixC::d::ABMICutblock,White-bark pine MixC,d,ABMICutblock,Pine,
White-bark pine MixC::d::AVIE,White-bark pine MixC,d,AVIE,Pine,
White-bark pine MixC::m::AVIE,White-bark pine MixC,m,AVIE,Pine,
White-bark pine::d::AVIE,White-bark pine,d,AVIE,Pine,
White-bark pine::m::AVIE,White-bark pine,m,AVIE,Pine,
