VEGHFAGE_FINE,VEGHFAGE,AGE,VEGHF,VEGHF_FINE,IS_HF,ETA_UseInAnalysis,ETA_UseInAnalysis_Sector,StepBack,PolyReclass
Water,Water,Water,NA,Water,Water,FALSE,Water,NATIVE,Water,Water
BorrowpitsDugoutsSumps,BorrowpitsDugoutsSumps,BorrowpitsDugoutsSumps,NA,BorrowpitsDugoutsSumps,BorrowpitsDugoutsSumps,TRUE,HWater,Misc,BorrowpitsDugoutsSumps,Water
Canals,Canals,Canals,NA,Canals,Canals,TRUE,HWater,Misc,Canals,Water
CultivationCropPastureBareground,CultivationCropPastureBareground,CultivationCropPastureBareground,NA,CultivationCropPastureBareground,CultivationCropPastureBareground,TRUE,Cult,Agriculture,CultivationCropPastureBareground,Cult
HighDensityLivestockOperation,HighDensityLivestockOperation,HighDensityLivestockOperation,NA,HighDensityLivestockOperation,HighDensityLivestockOperation,TRUE,Cult,Agriculture,HighDensityLivestockOperation,Cult
IndustrialSiteRural,IndustrialSiteRural,IndustrialSiteRural,NA,IndustrialSiteRural,IndustrialSiteRural,TRUE,UrbInd,RuralUrban,IndustrialSiteRural,UrbInd
MineSite,MineSite,MineSite,NA,MineSite,MineSite,TRUE,UrbInd,Energy,MineSite,Zero
MunicipalWaterSewage,MunicipalWaterSewage,MunicipalWaterSewage,NA,MunicipalWaterSewage,MunicipalWaterSewage,TRUE,HWater,Misc,MunicipalWaterSewage,Water
OtherDisturbedVegetation,OtherDisturbedVegetation,OtherDisturbedVegetation,NA,OtherDisturbedVegetation,OtherDisturbedVegetation,TRUE,UrbInd,Misc,OtherDisturbedVegetation,UrbInd
PeatMine,PeatMine,PeatMine,NA,PeatMine,PeatMine,TRUE,UrbInd,Misc,PeatMine,Zero
Pipeline,Pipeline,Pipeline,NA,Pipeline,Pipeline,TRUE,SoftLin,Energy,Pipeline,SoftLin
RailHardSurface,RailHardSurface,RailHardSurface,NA,RailHardSurface,RailHardSurface,TRUE,HardLin,Transportation,RailHardSurface,Zero
RailVegetatedVerge,RailVegetatedVerge,RailVegetatedVerge,NA,RailVegetatedVerge,RailVegetatedVerge,TRUE,SoftLin,Transportation,RailVegetatedVerge,SoftLin
Reservoirs,Reservoirs,Reservoirs,NA,Reservoirs,Reservoirs,TRUE,HWater,Misc,Reservoirs,Water
RoadHardSurface,RoadHardSurface,RoadHardSurface,NA,RoadHardSurface,RoadHardSurface,TRUE,HardLin,Transportation,RoadHardSurface,Zero
RoadTrailVegetated,RoadTrailVegetated,RoadTrailVegetated,NA,RoadTrailVegetated,RoadTrailVegetated,TRUE,SoftLin,Transportation,RoadTrailVegetated,SoftLin
RoadVegetatedVerge,RoadVegetatedVerge,RoadVegetatedVerge,NA,RoadVegetatedVerge,RoadVegetatedVerge,TRUE,SoftLin,Transportation,RoadVegetatedVerge,SoftLin
RuralResidentialIndustrial,RuralResidentialIndustrial,RuralResidentialIndustrial,NA,RuralResidentialIndustrial,RuralResidentialIndustrial,TRUE,UrbInd,RuralUrban,RuralResidentialIndustrial,UrbInd
SeismicLine,SeismicLine,SeismicLine,NA,SeismicLine,SeismicLine,TRUE,SoftLin,Energy,SeismicLine,SoftLin
TransmissionLine,TransmissionLine,TransmissionLine,NA,TransmissionLine,TransmissionLine,TRUE,SoftLin,Energy,TransmissionLine,SoftLin
Urban,Urban,Urban,NA,Urban,Urban,TRUE,UrbInd,RuralUrban,Urban,UrbInd
WellSite,WellSite,WellSite,NA,WellSite,WellSite,TRUE,UrbInd,Energy,WellSite,UrbInd
WindGenerationFacility,WindGenerationFacility,WindGenerationFacility,NA,WindGenerationFacility,WindGenerationFacility,TRUE,UrbInd,Energy,WindGenerationFacility,UrbInd
CCDecidR,CCDecidR,CCDecidR,R,CCDecid,CCDecid,TRUE,CCDeciduousR,Forestry,CCDecidR,DeciduousCC0
CCDecid1,CCDecid1,CCDecid1,1,CCDecid,CCDecid,TRUE,CCDeciduous1,Forestry,CCDecid1,DeciduousCC10
CCDecid2,CCDecid2,CCDecid2,2,CCDecid,CCDecid,TRUE,CCDeciduous2,Forestry,CCDecid2,DeciduousCC20
CCDecid3,CCDecid3,CCDecid3,3,CCDecid,CCDecid,TRUE,CCDeciduous3,Forestry,CCDecid3,DeciduousCC40
CCDecid4,CCDecid4,CCDecid4,4,CCDecid,CCDecid,TRUE,CCDeciduous4,Forestry,CCDecid4,DeciduousCC60
CCMixedwoodR,CCMixedwoodR,CCMixedwoodR,R,CCMixedwood,CCMixedwood,TRUE,CCDeciduousR,Forestry,CCMixwoodR,DeciduousCC0
CCMixedwood1,CCMixedwood1,CCMixedwood1,1,CCMixedwood,CCMixedwood,TRUE,CCDeciduous1,Forestry,CCMixwood1,DeciduousCC10
CCMixedwood2,CCMixedwood2,CCMixedwood2,2,CCMixedwood,CCMixedwood,TRUE,CCDeciduous2,Forestry,CCMixwood2,DeciduousCC20
CCMixedwood3,CCMixedwood3,CCMixedwood3,3,CCMixedwood,CCMixedwood,TRUE,CCDeciduous3,Forestry,CCMixwood3,DeciduousCC40
CCMixedwood4,CCMixedwood4,CCMixedwood4,4,CCMixedwood,CCMixedwood,TRUE,CCDeciduous4,Forestry,CCMixwood4,DeciduousCC60
CCPineR,CCPineR,CCPineR,R,CCPine,CCPine,TRUE,CCPineR,Forestry,CCPineR,PineCC0
CCPine1,CCPine1,CCPine1,1,CCPine,CCPine,TRUE,CCPine1,Forestry,CCPine1,PineCC10
CCPine2,CCPine2,CCPine2,2,CCPine,CCPine,TRUE,CCPine2,Forestry,CCPine2,PineCC20
CCPine3,CCPine3,CCPine3,3,CCPine,CCPine,TRUE,CCPine3,Forestry,CCPine3,PineCC40
CCPine4,CCPine4,CCPine4,4,CCPine,CCPine,TRUE,CCPine4,Forestry,CCPine4,PineCC60
CCSpruceR,CCSpruceR,CCSpruceR,R,CCSpruce,CCSpruce,TRUE,CCWhiteSpruceR,Forestry,CCConifR,WhiteSpruceCC0
CCSpruce1,CCSpruce1,CCSpruce1,1,CCSpruce,CCSpruce,TRUE,CCWhiteSpruce1,Forestry,CCConif1,WhiteSpruceCC10
CCSpruce2,CCSpruce2,CCSpruce2,2,CCSpruce,CCSpruce,TRUE,CCWhiteSpruce2,Forestry,CCConif2,WhiteSpruceCC20
CCSpruce3,CCSpruce3,CCSpruce3,3,CCSpruce,CCSpruce,TRUE,CCWhiteSpruce3,Forestry,CCConif3,WhiteSpruceCC40
CCSpruce4,CCSpruce4,CCSpruce4,4,CCSpruce,CCSpruce,TRUE,CCWhiteSpruce4,Forestry,CCConif4,WhiteSpruceCC60
UrbanIndustrial,UrbanIndustrial,Urban,NA,Urban,UrbanIndustrial,TRUE,UrbInd,RuralUrban,Urban,UrbInd
UrbanResidence,UrbanResidence,Urban,NA,Urban,UrbanResidence,TRUE,UrbInd,RuralUrban,Urban,UrbInd
SeismicLineNarrow,SeismicLineNarrow,SeismicLine,NA,SeismicLine,SeismicLineNarrow,TRUE,SoftLin,Energy,SeismicLine,SoftLin
SeismicLineWide,SeismicLineWide,SeismicLine,NA,SeismicLine,SeismicLineWide,TRUE,SoftLin,Energy,SeismicLine,SoftLin
CultivationCrop,CultivationCrop,CultivationCropPastureBareground,NA,CultivationCropPastureBareground,CultivationCrop,TRUE,Cult,Agriculture,CultivationCropPastureBareground,Cult
CultivationAbandoned,CultivationAbandoned,CultivationCropPastureBareground,NA,CultivationCropPastureBareground,CultivationAbandoned,TRUE,Cult,Agriculture,CultivationCropPastureBareground,Cult
CultivationRoughPasture,CultivationRoughPasture,CultivationCropPastureBareground,NA,CultivationCropPastureBareground,CultivationRoughPasture,TRUE,Cult,Agriculture,CultivationCropPastureBareground,Cult
CultivationTamePasture,CultivationTamePasture,CultivationCropPastureBareground,NA,CultivationCropPastureBareground,CultivationTamePasture,TRUE,Cult,Agriculture,CultivationCropPastureBareground,Cult
