ID,is_HF,is_linear,is_alien,is_water,is_wet,is_road,is_road_veg,is_closed,is_forest,is_harvest,UseInAnalysisFine,UseInAnalysisFineAge,UseInAnalysisCoarse,Sector61,LCC4,MatureOld,forest_stand,VEGHFAGE_FINE,VEGHFAGE,AGE,VEGHF,VEGHF_FINE,ETA_UseInAnalysis,ETA_UseInAnalysis_Sector,StepBack,PolyReclass,UseAvail,UseInPIX,CoefTabs,CoefTabsBDQT
Spruce1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Spruce,Spruce1,ConUp,Native,Conif,FALSE,Spruce,Spruce1,Spruce1,1,Spruce,Spruce,WhiteSpruce1,NATIVE,Conif1,WhiteSpruce10,WhiteSpruce,WSpr,WhiteSpruce_10-20,WhiteSpruce_10-20
Spruce2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Spruce,Spruce2,ConUp,Native,Conif,FALSE,Spruce,Spruce2,Spruce2,2,Spruce,Spruce,WhiteSpruce2,NATIVE,Conif2,WhiteSpruce20,WhiteSpruce,WSpr,WhiteSpruce_20-40,WhiteSpruce_20-40
Spruce3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Spruce,Spruce3,ConUp,Native,Conif,FALSE,Spruce,Spruce3,Spruce3,3,Spruce,Spruce,WhiteSpruce3,NATIVE,Conif3,WhiteSpruce40,WhiteSpruce,WSpr,WhiteSpruce_40-60,WhiteSpruce_40-60
Spruce4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Spruce,Spruce4,ConUp,Native,Conif,FALSE,Spruce,Spruce4,Spruce4,4,Spruce,Spruce,WhiteSpruce4,NATIVE,Conif4,WhiteSpruce60,WhiteSpruce,WSpr,WhiteSpruce_60-80,WhiteSpruce_60-80
Spruce5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Spruce,Spruce5,ConUp,Native,Conif,TRUE,Spruce,Spruce5,Spruce5,5,Spruce,Spruce,WhiteSpruce5,NATIVE,Conif5,WhiteSpruce80,WhiteSpruce,WSprO,WhiteSpruce_80-100,WhiteSpruce_80-100
Spruce6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Spruce,Spruce6,ConUp,Native,Conif,TRUE,Spruce,Spruce6,Spruce6,6,Spruce,Spruce,WhiteSpruce6,NATIVE,Conif6,WhiteSpruce100,WhiteSpruce,WSprO,WhiteSpruce_100-120,WhiteSpruce_100-120
Spruce7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Spruce,Spruce7,ConUp,Native,Conif,TRUE,Spruce,Spruce7,Spruce7,7,Spruce,Spruce,WhiteSpruce7,NATIVE,Conif7,WhiteSpruce120,WhiteSpruce,WSprO,WhiteSpruce_120-140,WhiteSpruce_120-140
Spruce8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Spruce,Spruce8,ConUp,Native,Conif,TRUE,Spruce,Spruce8,Spruce8,8,Spruce,Spruce,WhiteSpruce8,NATIVE,Conif8,WhiteSpruce140,WhiteSpruce,WSprO,WhiteSpruce_140+,WhiteSpruce_140+
Spruce9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,Spruce,Spruce9,ConUp,Native,Conif,TRUE,Spruce,Spruce9,Spruce9,9,Spruce,Spruce,WhiteSpruce8,NATIVE,Conif9,WhiteSpruce140,WhiteSpruce,WSprO,WhiteSpruce_140+,WhiteSpruce_140+
TreedBogR,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,BSpr,BSprR,ConLo,Native,Wet,FALSE,TreedBog,TreedBogR,TreedBogR,R,TreedBog,TreedBog,BlackSpruceR,NATIVE,Wetland-BSprR,BlackSpruce0,BlackSpruce,BSpr,BlackSpruce_0-10,BlackSpruce_0-10
